UF;Bacia;Exploração;Nome_ANP;Campo;Operador;Período;Petróleo_(bbl/dia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-RJS-159-RJS;PAMPO;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;3-RJS-169D-RJS;PAMPO;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-AB-110HP-RJS;ALBACORA;Petrobras;2023/01;58,9621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-84HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;125,2557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-AB-134HPA-RJS;ALBACORA;Petrobras;2023/01;407,7507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-16HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;126,4718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-AB-64HA-RJS;ALBACORA;Petrobras;2023/01;1.214,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-87HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;112,3035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-13HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;173,0268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-AB-132HP-RJS;ALBACORA;Petrobras;2023/01;329,1646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-24HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;102,5785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-AB-103HP-RJS;ALBACORA;Petrobras;2023/01;32,8127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-AB-13HA-RJS;ALBACORA;Petrobras;2023/01;903,252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-330A-RJ;ALBACORA;Petrobras;2023/01;653,6679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-44HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;119,5963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-ABL-54HP-RJS;ALBACORA;Petro Rio Jaguar;2023/01;163,7231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PRG-47H-RJS;PEREGRINO;Equinor Brasil;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PRG-44H-RJS;PEREGRINO;Equinor Brasil;2023/01;457,3548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-PRG-41HA-RJS;PEREGRINO;Equinor Brasil;2023/01;1.885,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
